,image nr,Description
0,1,Oranges
1,2,Apples
2,3,Apple + parts
3,4,Appleparts
5,6,Crostini
6,7,Liquorice
7,8,Fishburger
8,9,Greek salad
9,10,Kiwis  
10,11,Kiwis + parts
11,12,Ricewaffle
12,13,Salad
13,14,Cheese rolls
14,15,KitKat
15,16,Hazelnuts
16,17,Omelet on bread
17,18,Onions
18,19,Onion + parts
19,20,Salad on blue plate
20,21,Stroopwafels (syrup waffles)
21,22,Azukibeans (red beans)
22,23,Almonds
23,24,Berlinerbol (doughnut)  strawberry
24,25,Blueberries
25,26,Carrot
26,27,"Carrot, cut"
27,28,"Carrot, parts"
28,29,Cashew nuts
29,30,"Chips, Doritos"
30,31,"Chips, Lays natural"
31,32,Chocolate doughnut
32,33,"Cucumbers, halfs"
33,34,"Cucumber, halfs overlay"
34,35,"Cucumber, halfs overlay, washed"
35,36,Cucumberhalf + parts
36,37,Eggs on bread
37,38,Raspberries
38,39,Raspberries + blueberries
39,40,Frikandel
40,41,Frikandel parts
41,42,Mixed nuts
42,43,Orange cut
43,44,Pineapple slices
44,45,Pineapple parts
45,46,Pink cookies 
46,47,"Pink cookies, overlay"
47,48,Pistache nuts
48,49,Sandwiches
49,50,"Sandwiches, overlay"
50,51,Sausage roll
51,52,"Sausage roll, overlay"
52,53,Tomato + parts
53,54,Tomatoes
54,55,Tomatoes + cucumber parts
55,56,Waffles
56,57,Walnuts
57,58,White grapes
58,59,"White grapes, washed"
59,60,Pancake with bacon 
60,61,Picanto (spicy mincemeat snack)
61,62,"Picanto, overlay"
62,63,Mushrooms
63,64,"Mushrooms, washed"
64,65,Mushrooms + parts
65,66,Bananas
66,67,Banana + parts
67,68,Banana peeled + parts
68,69,Melon
69,70,Melon + parts
70,71,Pears
72,73,Pearparts
73,74,Mixed potatoes
74,75,Potatoes
75,76,Boiled potatoes
76,77,Potatoes + boiled
77,78,Salad salmon
78,79,Salad Japanese
79,80,Green olives
80,81,Black and green olives
81,82,Mixed olives and feta
82,83,Applepie
83,84,"Applepie, parts"
84,85,Tiramisu
85,86,"Greek salad, molded"
86,87,"Salad, molded"
88,89,"Appleparts, molded"
89,90,"Banana + parts, molded"
90,91,Eggs 
91,92,Eggs + peeled and cooked
92,93,Eggs + peeled parts
93,94,Sandwich grilled salmon
94,95,Sandwich grilled salmon overlay
95,96,Fish haring
96,97,Fish haring and onions
